"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1000000US361090023003056","Block 3056, Block Group 3, Census Tract 23, Tompkins County, New York","4"
"1000000US361090021001010","Block 1010, Block Group 1, Census Tract 21, Tompkins County, New York","8"
"1000000US361090017001000","Block 1000, Block Group 1, Census Tract 17, Tompkins County, New York","2"
"1000000US361090021001004","Block 1004, Block Group 1, Census Tract 21, Tompkins County, New York","15"
"1000000US361090006001011","Block 1011, Block Group 1, Census Tract 6, Tompkins County, New York","35"
"1000000US361090006003003","Block 3003, Block Group 3, Census Tract 6, Tompkins County, New York","15"
"1000000US361090006002024","Block 2024, Block Group 2, Census Tract 6, Tompkins County, New York","0"
"1000000US361090006004047","Block 4047, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090016001026","Block 1026, Block Group 1, Census Tract 16, Tompkins County, New York","0"
"1000000US361090017001054","Block 1054, Block Group 1, Census Tract 17, Tompkins County, New York","0"
"1000000US361090017002023","Block 2023, Block Group 2, Census Tract 17, Tompkins County, New York","51"
"1000000US361090018003064","Block 3064, Block Group 3, Census Tract 18, Tompkins County, New York","0"
"1000000US361090019003053","Block 3053, Block Group 3, Census Tract 19, Tompkins County, New York","0"
"1000000US361090021002020","Block 2020, Block Group 2, Census Tract 21, Tompkins County, New York","51"
"1000000US361090021003038","Block 3038, Block Group 3, Census Tract 21, Tompkins County, New York","0"
"1000000US361090018003047","Block 3047, Block Group 3, Census Tract 18, Tompkins County, New York","0"
"1000000US361090023001030","Block 1030, Block Group 1, Census Tract 23, Tompkins County, New York","25"
"1000000US361090009002004","Block 2004, Block Group 2, Census Tract 9, Tompkins County, New York","43"
"1000000US361090015001054","Block 1054, Block Group 1, Census Tract 15, Tompkins County, New York","0"
"1000000US361090023002056","Block 2056, Block Group 2, Census Tract 23, Tompkins County, New York","12"
"1000000US361090001001011","Block 1011, Block Group 1, Census Tract 1, Tompkins County, New York","26"
"1000000US361090008002000","Block 2000, Block Group 2, Census Tract 8, Tompkins County, New York","31"
"1000000US361090018003061","Block 3061, Block Group 3, Census Tract 18, Tompkins County, New York","0"
"1000000US361090013002003","Block 2003, Block Group 2, Census Tract 13, Tompkins County, New York","0"
"1000000US361090021002009","Block 2009, Block Group 2, Census Tract 21, Tompkins County, New York","2"
"1000000US361090013002010","Block 2010, Block Group 2, Census Tract 13, Tompkins County, New York","565"
"1000000US361090019004003","Block 4003, Block Group 4, Census Tract 19, Tompkins County, New York","13"
"1000000US361090010002005","Block 2005, Block Group 2, Census Tract 10, Tompkins County, New York","65"
"1000000US361090012001004","Block 1004, Block Group 1, Census Tract 12, Tompkins County, New York","3071"
"1000000US361090019002004","Block 2004, Block Group 2, Census Tract 19, Tompkins County, New York","0"
"1000000US361090019004042","Block 4042, Block Group 4, Census Tract 19, Tompkins County, New York","0"
"1000000US361090022003043","Block 3043, Block Group 3, Census Tract 22, Tompkins County, New York","0"
"1000000US361090023001022","Block 1022, Block Group 1, Census Tract 23, Tompkins County, New York","22"
"1000000US361090023003021","Block 3021, Block Group 3, Census Tract 23, Tompkins County, New York","88"
"1000000US361090005003016","Block 3016, Block Group 3, Census Tract 5, Tompkins County, New York","33"
"1000000US361090018001012","Block 1012, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090019002028","Block 2028, Block Group 2, Census Tract 19, Tompkins County, New York","66"
"1000000US361090007002029","Block 2029, Block Group 2, Census Tract 7, Tompkins County, New York","98"
"1000000US361090008001012","Block 1012, Block Group 1, Census Tract 8, Tompkins County, New York","3"
"1000000US361090017001006","Block 1006, Block Group 1, Census Tract 17, Tompkins County, New York","0"
"1000000US361090019002071","Block 2071, Block Group 2, Census Tract 19, Tompkins County, New York","0"
"1000000US361090021001036","Block 1036, Block Group 1, Census Tract 21, Tompkins County, New York","0"
"1000000US361090019004062","Block 4062, Block Group 4, Census Tract 19, Tompkins County, New York","2"
"1000000US361090010001073","Block 1073, Block Group 1, Census Tract 10, Tompkins County, New York","2"
"1000000US361090010001065","Block 1065, Block Group 1, Census Tract 10, Tompkins County, New York","0"
"1000000US361090018001055","Block 1055, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090021002001","Block 2001, Block Group 2, Census Tract 21, Tompkins County, New York","0"
"1000000US361090006001002","Block 1002, Block Group 1, Census Tract 6, Tompkins County, New York","567"
"1000000US361090015002029","Block 2029, Block Group 2, Census Tract 15, Tompkins County, New York","0"
"1000000US361090016001119","Block 1119, Block Group 1, Census Tract 16, Tompkins County, New York","0"
"1000000US361090016003012","Block 3012, Block Group 3, Census Tract 16, Tompkins County, New York","13"
"1000000US361090017003036","Block 3036, Block Group 3, Census Tract 17, Tompkins County, New York","0"
"1000000US361090019001023","Block 1023, Block Group 1, Census Tract 19, Tompkins County, New York","44"
"1000000US361090019004019","Block 4019, Block Group 4, Census Tract 19, Tompkins County, New York","75"
"1000000US361090004001017","Block 1017, Block Group 1, Census Tract 4, Tompkins County, New York","10"
"1000000US361090018003040","Block 3040, Block Group 3, Census Tract 18, Tompkins County, New York","0"
"1000000US361090021003021","Block 3021, Block Group 3, Census Tract 21, Tompkins County, New York","18"
"1000000US361090019003066","Block 3066, Block Group 3, Census Tract 19, Tompkins County, New York","0"
"1000000US361090019003004","Block 3004, Block Group 3, Census Tract 19, Tompkins County, New York","0"
"1000000US361090019004050","Block 4050, Block Group 4, Census Tract 19, Tompkins County, New York","4"
"1000000US361090023001007","Block 1007, Block Group 1, Census Tract 23, Tompkins County, New York","4"
"1000000US361090020001035","Block 1035, Block Group 1, Census Tract 20, Tompkins County, New York","0"
"1000000US361090023003062","Block 3062, Block Group 3, Census Tract 23, Tompkins County, New York","0"
"1000000US361090016001065","Block 1065, Block Group 1, Census Tract 16, Tompkins County, New York","5"
"1000000US361090017003012","Block 3012, Block Group 3, Census Tract 17, Tompkins County, New York","44"
"1000000US361090019002020","Block 2020, Block Group 2, Census Tract 19, Tompkins County, New York","0"
"1000000US361090019003036","Block 3036, Block Group 3, Census Tract 19, Tompkins County, New York","75"
"1000000US361090021003023","Block 3023, Block Group 3, Census Tract 21, Tompkins County, New York","27"
"1000000US361090003001004","Block 1004, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090003001019","Block 1019, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090017001049","Block 1049, Block Group 1, Census Tract 17, Tompkins County, New York","56"
"1000000US361090017003039","Block 3039, Block Group 3, Census Tract 17, Tompkins County, New York","0"
"1000000US361090017003006","Block 3006, Block Group 3, Census Tract 17, Tompkins County, New York","0"
"1000000US361090009003000","Block 3000, Block Group 3, Census Tract 9, Tompkins County, New York","0"
"1000000US361090015001013","Block 1013, Block Group 1, Census Tract 15, Tompkins County, New York","0"
"1000000US361090018003070","Block 3070, Block Group 3, Census Tract 18, Tompkins County, New York","0"
"1000000US361090020001026","Block 1026, Block Group 1, Census Tract 20, Tompkins County, New York","0"
"1000000US361090021001009","Block 1009, Block Group 1, Census Tract 21, Tompkins County, New York","13"
"1000000US361090022001052","Block 1052, Block Group 1, Census Tract 22, Tompkins County, New York","16"
"1000000US361090011001017","Block 1017, Block Group 1, Census Tract 11, Tompkins County, New York","163"
"1000000US361090013001031","Block 1031, Block Group 1, Census Tract 13, Tompkins County, New York","55"
"1000000US361090016002005","Block 2005, Block Group 2, Census Tract 16, Tompkins County, New York","59"
"1000000US361090021003006","Block 3006, Block Group 3, Census Tract 21, Tompkins County, New York","0"
"1000000US361090017003068","Block 3068, Block Group 3, Census Tract 17, Tompkins County, New York","6"
"1000000US361090018001022","Block 1022, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090019003021","Block 3021, Block Group 3, Census Tract 19, Tompkins County, New York","45"
"1000000US361090001001015","Block 1015, Block Group 1, Census Tract 1, Tompkins County, New York","27"
"1000000US361090014003008","Block 3008, Block Group 3, Census Tract 14, Tompkins County, New York","46"
"1000000US361090005003020","Block 3020, Block Group 3, Census Tract 5, Tompkins County, New York","75"
"1000000US361090019001040","Block 1040, Block Group 1, Census Tract 19, Tompkins County, New York","58"
"1000000US361090005002008","Block 2008, Block Group 2, Census Tract 5, Tompkins County, New York","119"
"1000000US361090010001021","Block 1021, Block Group 1, Census Tract 10, Tompkins County, New York","2"
"1000000US361090010001023","Block 1023, Block Group 1, Census Tract 10, Tompkins County, New York","0"
"1000000US361090016002028","Block 2028, Block Group 2, Census Tract 16, Tompkins County, New York","0"
"1000000US361090018001068","Block 1068, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090006004045","Block 4045, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090008001013","Block 1013, Block Group 1, Census Tract 8, Tompkins County, New York","0"
"1000000US361090019004025","Block 4025, Block Group 4, Census Tract 19, Tompkins County, New York","139"
"1000000US361090021002047","Block 2047, Block Group 2, Census Tract 21, Tompkins County, New York","73"
"1000000US361090018001009","Block 1009, Block Group 1, Census Tract 18, Tompkins County, New York","31"
"1000000US361090019001016","Block 1016, Block Group 1, Census Tract 19, Tompkins County, New York","57"
"1000000US361090006004096","Block 4096, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090016001114","Block 1114, Block Group 1, Census Tract 16, Tompkins County, New York","31"
"1000000US361090023003012","Block 3012, Block Group 3, Census Tract 23, Tompkins County, New York","22"
"1000000US361090010001034","Block 1034, Block Group 1, Census Tract 10, Tompkins County, New York","0"
"1000000US361090013001009","Block 1009, Block Group 1, Census Tract 13, Tompkins County, New York","158"
"1000000US361090013003023","Block 3023, Block Group 3, Census Tract 13, Tompkins County, New York","0"
"1000000US361090016003047","Block 3047, Block Group 3, Census Tract 16, Tompkins County, New York","12"
"1000000US361090019004015","Block 4015, Block Group 4, Census Tract 19, Tompkins County, New York","0"
"1000000US361090003001074","Block 1074, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090005003014","Block 3014, Block Group 3, Census Tract 5, Tompkins County, New York","3"
"1000000US361090010001081","Block 1081, Block Group 1, Census Tract 10, Tompkins County, New York","5"
"1000000US361090017003007","Block 3007, Block Group 3, Census Tract 17, Tompkins County, New York","10"
"1000000US361090019001010","Block 1010, Block Group 1, Census Tract 19, Tompkins County, New York","22"
"1000000US361090019003064","Block 3064, Block Group 3, Census Tract 19, Tompkins County, New York","0"
"1000000US361090015003033","Block 3033, Block Group 3, Census Tract 15, Tompkins County, New York","32"
"1000000US361090007002032","Block 2032, Block Group 2, Census Tract 7, Tompkins County, New York","66"
"1000000US361090016001019","Block 1019, Block Group 1, Census Tract 16, Tompkins County, New York","0"
"1000000US361090017001002","Block 1002, Block Group 1, Census Tract 17, Tompkins County, New York","46"
"1000000US361090017002026","Block 2026, Block Group 2, Census Tract 17, Tompkins County, New York","0"
"1000000US361090018001078","Block 1078, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090019003062","Block 3062, Block Group 3, Census Tract 19, Tompkins County, New York","40"
"1000000US361090013001006","Block 1006, Block Group 1, Census Tract 13, Tompkins County, New York","17"
"1000000US361090016003024","Block 3024, Block Group 3, Census Tract 16, Tompkins County, New York","6"
"1000000US361090018003065","Block 3065, Block Group 3, Census Tract 18, Tompkins County, New York","12"
"1000000US361090019004022","Block 4022, Block Group 4, Census Tract 19, Tompkins County, New York","86"
"1000000US361090021001001","Block 1001, Block Group 1, Census Tract 21, Tompkins County, New York","49"
"1000000US361090004001033","Block 1033, Block Group 1, Census Tract 4, Tompkins County, New York","3"
"1000000US361090007001011","Block 1011, Block Group 1, Census Tract 7, Tompkins County, New York","0"
"1000000US361090009001014","Block 1014, Block Group 1, Census Tract 9, Tompkins County, New York","0"
"1000000US361090023002106","Block 2106, Block Group 2, Census Tract 23, Tompkins County, New York","0"
"1000000US361090015001001","Block 1001, Block Group 1, Census Tract 15, Tompkins County, New York","17"
"1000000US361090016001045","Block 1045, Block Group 1, Census Tract 16, Tompkins County, New York","5"
"1000000US361090003001038","Block 1038, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090009002009","Block 2009, Block Group 2, Census Tract 9, Tompkins County, New York","21"
"1000000US361090010001048","Block 1048, Block Group 1, Census Tract 10, Tompkins County, New York","0"
"1000000US361090016003051","Block 3051, Block Group 3, Census Tract 16, Tompkins County, New York","21"
"1000000US361090018003035","Block 3035, Block Group 3, Census Tract 18, Tompkins County, New York","8"
"1000000US361090020003025","Block 3025, Block Group 3, Census Tract 20, Tompkins County, New York","38"
"1000000US361090022002009","Block 2009, Block Group 2, Census Tract 22, Tompkins County, New York","18"
"1000000US361090023003069","Block 3069, Block Group 3, Census Tract 23, Tompkins County, New York","10"
"1000000US361090003001003","Block 1003, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090018001061","Block 1061, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090022001028","Block 1028, Block Group 1, Census Tract 22, Tompkins County, New York","23"
"1000000US361090017003037","Block 3037, Block Group 3, Census Tract 17, Tompkins County, New York","28"
"1000000US361090021002042","Block 2042, Block Group 2, Census Tract 21, Tompkins County, New York","113"
"1000000US361090009001011","Block 1011, Block Group 1, Census Tract 9, Tompkins County, New York","150"
"1000000US361090018001028","Block 1028, Block Group 1, Census Tract 18, Tompkins County, New York","9"
